epoch,train_loss,train_accuracy,test_accuracy,learning_rate,epoch_time
1,4.5269717086445205,2.4266666666666667,4.53,0.01999999999999999,53.06469
2,4.315061943097548,5.446666666666666,7.51,0.020000143542486415,47.898392
3,4.156487882137299,8.215555555555556,9.75,0.02000057416948786,48.500729
4,4.0255731615153225,10.537777777777778,11.6,0.020001291879630706,48.38206
5,3.9022658602757887,12.908888888888889,13.56,0.02000229667062553,48.065636
6,3.7452362829988655,16.27111111111111,15.31,0.02000358853926726,48.062622
7,3.6181284378875387,18.802222222222223,17.7,0.020005167481434993,50.723341
8,3.4963101717558773,21.65111111111111,19.0,0.020007033492092208,49.165272
9,3.3766114196994086,24.435555555555556,26.33,0.020009186565286663,49.51617
10,3.2713701101866635,27.126666666666665,29.68,0.02001162669415041,49.123304
11,3.175397981296886,29.504444444444445,29.02,0.02001435387089978,50.427421
12,3.098129602995786,31.493333333333332,35.71,0.020017368086835602,49.176421
13,3.006072456186468,33.92666666666667,38.23,0.020020669332343005,50.883851
14,2.9332593137567695,35.60666666666667,39.12,0.02002425759689158,48.307745
15,2.8560011251406237,37.76444444444444,40.48,0.020028132869035348,47.811864
16,2.795731536366723,39.37555555555556,42.58,0.02003229513641286,47.61942
17,2.750945568084717,40.50888888888889,41.0,0.020036744385747124,47.700297
18,2.682160412723368,42.76888888888889,46.63,0.02004148060284583,48.710362
19,2.635965620929545,43.98,48.89,0.020046503772601254,48.175168
20,2.5853436805985193,45.37555555555556,50.32,0.020051813878990243,50.376145
21,2.5440665673125875,46.78666666666667,43.02,0.020057410905074513,47.606973
22,2.5024555813182485,47.971111111111114,53.8,0.020063294833000456,48.041875
23,2.4658738645640286,48.78666666666667,53.08,0.020069465643999335,48.60503
24,2.4204744046384636,50.29555555555555,53.57,0.020075923318387312,47.853173
25,2.3847545249895616,51.46888888888889,56.17,0.02008266783556542,46.942932
26,2.356619442051107,52.315555555555555,54.39,0.020089699174019843,51.08067
27,2.31736867536198,53.22222222222222,58.51,0.02009701731132177,47.301668
28,2.2883292219855567,54.57333333333333,57.79,0.02010462222412754,48.201456
29,2.2550496106797997,55.09777777777778,56.59,0.02011251388817878,47.691546
